Name,Industry
Air Transport Services Group,Courier & transportation
Air Transport Services Group,Courier & transportation
AirAsia,Courier & transportation
AirAsia,Courier & transportation
Airbnb,Tech & Software
Airbus,Manufacturing
Airbus,Manufacturing
Airbus,Manufacturing
Airports of Thailand,Courier & transportation
AirSculpt Technologies,Manufacturing
Aisin Seiki,Manufacturing
Aixtron,Others
Ajinomoto,Food
Akamai,Tech & Software
Akamai,Tech & Software
Akanda,Others
Akbank,Banks & Finance
Akebia Therapeutics,Pharma & Healthcare
Aker BP,"Oil, Gas & Mining"
Akerna,Others
Akero Therapeutics,Pharma & Healthcare
Akero Therapeutics,Pharma & Healthcare
Akoustis Technologies,Manufacturing
Akoya Biosciences,Pharma & Healthcare
Aktia Bank,Banks & Finance
Aktia Bank,Banks & Finance
AkzoNobel,Chemicals
AkzoNobel,Chemicals
Al Moammar Information Systems,Others
Al Rajhi Bank,Banks & Finance
Al Rajhi Bank,Banks & Finance
Alabama Power,Others
Alamos Gold,"Oil, Gas & Mining"
Alarm.com,Others
Alaska Airlines,Courier & transportation
Alaska Airlines,Courier & transportation
Albany International,Others
Albemarle,Chemicals
Albertsons,Retail
Albioma,Electricity
Alcoa,Others
Alcon,Pharma & Healthcare
ALD Automotive,Manufacturing
Aldeyra Therapeutics,Pharma & Healthcare
Alector,Others
Alembic Limited,Others
Alembic Pharmaceuticals,Pharma & Healthcare
Alexander &amp; Baldwin,Construction & Real Estate
Alexander &amp; Baldwin,Banks & Finance
Alexandria Real Estate Equities,Construction & Real Estate
Alfa Laval,Others
Alfamart,Retail
Alfen,Others
Algonquin Power & Utilities,Electricity
Alibaba,Tech & Software
Alico,Others
Alight,Tech & Software
Alight,Tech & Software
Align Technology,Tech & Software
Alignment Healthcare,Pharma & Healthcare
Alimentation Couche-Tard,Retail
Alinma Bank,Banks & Finance
Alinma Bank,Banks & Finance
Alkaline Water Company,Food
Alkami Technology,Tech & Software
Alkami Technology,Tech & Software
Alkem Laboratories,Pharma & Healthcare
Alkermes,Pharma & Healthcare
Alkermes,Pharma & Healthcare
Allakos,Others
Allbirds,Consumer Goods & Clothing
Allcargo Logistics,Others
Alleghany,Banks & Finance
Allegheny Technologies,Manufacturing
Allegiance Bancshares,Banks & Finance
Allegiance Bancshares,Banks & Finance
Allegiant Air,Courier & transportation
Allegiant Air,Courier & transportation
Allegion,Others
Allegro MicroSystems,Tech & Software
Allegro MicroSystems,Tech & Software
Allegro.eu,Tech & Software
Allegro.eu,Tech & Software
Allena Pharmaceuticals,Pharma & Healthcare
Allena Pharmaceuticals,Pharma & Healthcare
Allete,Electricity
Alliance Data,Banks & Finance
Alliance Resource Partners,"Oil, Gas & Mining"
AllianceBernstein,Others
Alliant Energy,Electricity
Allianz,Banks & Finance
Allied Esports,Entertainment
Allied Motion Technologies,Tech & Software
Allied Tecnologia,Tech & Software
Allied Tecnologia,Tech & Software
Allied Tecnologia,Tech & Software
Allison Transmission,Others
Allogene Therapeutics,Pharma & Healthcare
Allogene Therapeutics,Pharma & Healthcare
Allot,Others
Allscripts,Pharma & Healthcare
Allscripts,Tech & Software
Allscripts,Tech & Software
Allstate,Banks & Finance
Ally,Banks & Finance
Ally,Banks & Finance
Almaden Minerals,"Oil, Gas & Mining"
Almarai,Others
Alnylam Pharmaceuticals,Pharma & Healthcare
Alony Hetz,Construction & Real Estate
Alony Hetz,Banks & Finance
Alpha &amp; Omega Semiconductor,Tech & Software
Alpha &amp; Omega Semiconductor,Tech & Software
Alphabet (Google),Tech & Software
Alphabet (Google),Tech & Software
ALSOK,Others
Alstom,Manufacturing
AltaGas,"Oil, Gas & Mining"
Altair Engineering,Manufacturing
Altamira Therapeutics,Pharma & Healthcare
Altamira Therapeutics,Pharma & Healthcare
Altarea,Construction & Real Estate
ALTEN,Tech & Software
Alteryx,Tech & Software
Alteryx,Tech & Software
Altice USA,Media & telecommunication
Altimeter Growth,Others
Altimmune,Pharma & Healthcare
Altimmune,Pharma & Healthcare
Altisource Portfolio,Banks & Finance
Altra Industrial Motion,Others
Altria Group,Alcohol & Tobacco
Altus Midstream,"Oil, Gas & Mining"
Aluminum Corporation of China,"Oil, Gas & Mining"
Amadeus IT Group,Tech & Software
AMAG Austria Metall,Others
Amalgamated Financial,Banks & Finance
Amalgamated Financial,Banks & Finance
Amara Raja Batteries,Electricity
Amarin Corporation,Pharma & Healthcare
Amarin Corporation,Pharma & Healthcare
Amazon,Tech & Software
Amazon,Tech & Software
Ambac,Banks & Finance
Ambac,Banks & Finance
Ambarella,Tech & Software
Ambarella,Tech & Software
Amber Enterprises India,Others
Ambev,Food
Ambev,Alcohol & Tobacco
Ambu,Pharma & Healthcare
Ambuja Cements,"Oil, Gas & Mining"
AMC Entertainment,Entertainment
AMC Networks,Media & telecommunication
Amcor,Others
AMD,Tech & Software
AMD,Tech & Software
Amdocs,Others
AMEC,Tech & Software
AMEC,Tech & Software
Amedisys,Pharma & Healthcare
Amerant Bancorp,Banks & Finance
Amerant Bancorp,Banks & Finance
Amerco,Others
Ameren,Electricity
Ameresco,Others
America Movil,Media & telecommunication
American Airlines,Courier & transportation
American Airlines,Courier & transportation
American Assets Trust,Others
American Axle &amp; Manufacturing,Others
American Campus Communities,Others
American Eagle Outfitters,Consumer Goods & Clothing
American Electric Power,Electricity
American Equity Investment Life Holding,Banks & Finance
American Express,Banks & Finance
American Financial Group,Banks & Finance
American Homes 4 Rent,Construction & Real Estate
American Homes 4 Rent,Banks & Finance
American International Group,Banks & Finance
American National Bank &amp; Trust Company,Banks & Finance
American National Bank &amp; Trust Company,Banks & Finance
American National Insurance,Banks & Finance
American Software,Tech & Software
American Software,Tech & Software
American States Water,Others
American Tower,Construction & Real Estate
American Tower,Media & telecommunication
American Virtual Cloud,Tech & Software
American Water Works,Construction & Real Estate
American Well,Pharma & Healthcare
American Well,Tech & Software
American Woodmark,Others
Americanas,Retail
Americanas,Tech & Software
Americas Gold and Silver Corp,"Oil, Gas & Mining"
Americold,Construction & Real Estate
Americold,Banks & Finance
Ameriprise Financial,Banks & Finance
Ameris Bancorp,Others
AMERISAFE,Banks & Finance
AmerisourceBergen,Pharma & Healthcare
Ametek,Manufacturing
Amgen,Pharma & Healthcare
Amgen,Pharma & Healthcare
Amicus Therapeutics,Others
Amkor Technology,Manufacturing
AMMO,Others
AMN Healthcare Services,Pharma & Healthcare
AMN Healthcare Services,Tech & Software
Amneal Pharmaceuticals,Pharma & Healthcare
Amneal Pharmaceuticals,Pharma & Healthcare
Amorepacific,Others
Amot Investment,Construction & Real Estate
Amot Investment,Banks & Finance
Amphastar Pharmaceuticals,Pharma & Healthcare
Amphastar Pharmaceuticals,Pharma & Healthcare
Amphenol,Manufacturing
Ampio Pharmaceuticals,Pharma & Healthcare
Amplify Energy,"Oil, Gas & Mining"
Amplitude,Tech & Software
Amplitude,Tech & Software
Amryt Pharma,Pharma & Healthcare
Amryt Pharma,Pharma & Healthcare
ams AG,Others
AmTrust Financial Services,Banks & Finance
Amundi,Others
Amylyx Pharmaceuticals,Pharma & Healthcare
Amylyx Pharmaceuticals,Pharma & Healthcare
Amyris,Pharma & Healthcare
ANA Holdings,Courier & transportation
ANA Holdings,Courier & transportation
Analog Devices,Tech & Software
Analog Devices,Tech & Software
Analog Devices,Manufacturing
Anant Raj,Construction & Real Estate
Anaplan,Tech & Software
Anaplan,Tech & Software
AnaptysBio,Pharma & Healthcare
AnaptysBio,Pharma & Healthcare
Anavex Life Sciences,Pharma & Healthcare
Anavex Life Sciences,Pharma & Healthcare
Andritz,Manufacturing
Angel Oak REIT,Construction & Real Estate
Angel Oak REIT,Banks & Finance
ANGI Homeservices,Others
AngioDynamics,Pharma & Healthcare
Anglo American,"Oil, Gas & Mining"
AngloGold Ashanti,"Oil, Gas & Mining"
Anheuser-Busch Inbev,Food
Anheuser-Busch Inbev,Alcohol & Tobacco
Anhui Conch Cement,Others
ANI Pharmaceuticals,Pharma & Healthcare
ANI Pharmaceuticals,Tech & Software
Anixa Biosciences,Pharma & Healthcare
Anixa Biosciences,Pharma & Healthcare
Annaly Capital Management,Others
Ansys,Tech & Software
Ansys,Tech & Software
Anta Sports,Manufacturing
AntarChile,Others
Antares Pharma,Pharma & Healthcare
Antares Pharma,Pharma & Healthcare
Anterix,Media & telecommunication
Antero Midstream,"Oil, Gas & Mining"
Antero Resources,"Oil, Gas & Mining"
Anthem,Banks & Finance
Anthem,Pharma & Healthcare
Anup Engineering,Tech & Software
Anup Engineering,Manufacturing
ANZ Bank,Banks & Finance
ANZ Bank,Banks & Finance
ƒåEZ Group,"Oil, Gas & Mining"
ƒåEZ Group,Electricity
Aon,Banks & Finance
Aon,Tech & Software
Apache Corporation,Manufacturing
Apartment Income REIT,Construction & Real Estate
Apartment Income REIT,Banks & Finance
Apellis Pharmaceuticals,Pharma & Healthcare
Apex Frozen Foods,Food
APi Group,Others
APL Apollo,Manufacturing
Apollo Commercial Real Estate,Construction & Real Estate
Apollo Commercial Real Estate,Banks & Finance
Apollo Global Management,Banks & Finance
Apollo Hospitals,Pharma & Healthcare
Apollo Medical Holdings,Pharma & Healthcare
Apollo Pipes,Others
Apollo Tyres,Others
AppFolio,Others
AppHarvest,Food
Appian,Tech & Software
Appian,Tech & Software
Appirits,Tech & Software
Appirits,Entertainment
Apple,Tech & Software
Apple,Tech & Software
Apple Hospitality REIT,Others
Applied DNA Sciences,Pharma & Healthcare
Applied Industrial Technologies,Manufacturing
Applied Materials,Tech & Software
Applied Materials,Tech & Software
AppLovin,Tech & Software
AppLovin,Tech & Software
AppTech Payments,Banks & Finance
AppTech Payments,Tech & Software
Aprea Therapeutics,Pharma & Healthcare
Aprea Therapeutics,Pharma & Healthcare
Apria,Others
AptarGroup,Others
Aptech,Others
Aptinyx,Pharma & Healthcare
Aptinyx,Pharma & Healthcare
Aptiv,Manufacturing
Aptorum Group,Pharma & Healthcare
Aptose Biosciences,Pharma & Healthcare
Aptose Biosciences,Pharma & Healthcare
AquaBounty,Food
Aquestive Therapeutics,Pharma & Healthcare
Arab National Bank,Banks & Finance
Arab National Bank,Banks & Finance
Arabian Internet and Communications Services,Others
Aramark,Others
Arbe Robotics,Tech & Software
Arbor Realty Trust,Construction & Real Estate
Arbor Realty Trust,Banks & Finance
Arbutus Biopharma,Pharma & Healthcare
ARC Document Solutions,Tech & Software
ARC Resources,"Oil, Gas & Mining"
Arca Continental,Food
Arcadia Biosciences,Pharma & Healthcare
Arcadis,Others
ArcBest,Courier & transportation
ArÁelik,Others
ArÁelik,Others
Arcellx,Pharma & Healthcare
Arcellx,Pharma & Healthcare
ArcelorMittal,"Oil, Gas & Mining"
Arch Capital,Banks & Finance
Arch Resources,"Oil, Gas & Mining"
Archaea Energy,"Oil, Gas & Mining"
Archer Aviation,Manufacturing
Archer Aviation,Manufacturing
Archer Aviation,Manufacturing
Archer Daniels Midland (ADM),Food
Archrock,Others
Arcimoto,Manufacturing
Arco Platform,Others
Arconic,Others
Arcos Dorados Holdings,Food
Arcos Dorados Holdings,Food
Arcosa,Others
Arcturus Therapeutics,Pharma & Healthcare
Arcturus Therapeutics,Pharma & Healthcare
Arcus Biosciences,Pharma & Healthcare
Arcutis Biotherapeutics,Pharma & Healthcare
Arcutis Biotherapeutics,Pharma & Healthcare
Ardelyx,Pharma & Healthcare
Ardelyx,Pharma & Healthcare
Ardmore Shipping,Courier & transportation
Arena Pharmaceuticals,Pharma & Healthcare
Arena Pharmaceuticals,Pharma & Healthcare
Ares Capital,Construction & Real Estate
Ares Commercial Real Estate,Construction & Real Estate
Ares Commercial Real Estate,Banks & Finance
Ares Management,Others
Argan,Others
Argenx,Pharma & Healthcare
Argo Group,Banks & Finance
Argonaut Gold,"Oil, Gas & Mining"
Arhaus,Retail
Aris Water Solutions,Others
Arista Networks,Tech & Software
Aristocrat,Entertainment
Arizona Metals,"Oil, Gas & Mining"
Arkema,Others
Arlington Asset Investment,Construction & Real Estate
Arlington Asset Investment,Banks & Finance
Arlo Technologies,Tech & Software
Armada Hoffler Properties,Construction & Real Estate
Armada Hoffler Properties,Banks & Finance
ARMOUR Residential REIT,Construction & Real Estate
ARMOUR Residential REIT,Banks & Finance
Armstrong Flooring,Others
Armstrong World Industries,Manufacturing
Aroundtown,Others
Arqit Quantum,Tech & Software
Arqit Quantum,Tech & Software
Array Technologies,Manufacturing
Arrival,Manufacturing
Arrow Electronics,Manufacturing
Arrow Financial,Banks & Finance
Arrow Financial,Banks & Finance
Arrowhead Pharmaceuticals,Pharma & Healthcare
Arteris,Tech & Software
Arteris,Tech & Software
Artesian Resources,Others
Arthur J. Gallagher & Co.,Banks & Finance
Artisan Partners,Others
Arvinas,Pharma & Healthcare
Arvinas,Pharma & Healthcare
Arvind,Consumer Goods & Clothing
Asahi India Glass,Others
Asahi Intecc,Others
Asahi Kasei,Chemicals
Asana,Tech & Software
Asana,Tech & Software
Asbury Automotive Group,Manufacturing
Ascendas Reit,Others
Ascendis Pharma,Pharma & Healthcare
ASE Group,Tech & Software
ASE Group,Tech & Software
Aselsan,Manufacturing
Asensus Surgical,Pharma & Healthcare
